name,year,company_id,company_name,company_url,company_country,company_startyear
Age of Mythology,2002,53,Microsoft Game Studios,https://www.igdb.com/companies/microsoft-game-studios,United States,2002
Age of Mythology,2002,130,MacSoft Games,https://www.igdb.com/companies/macsoft-games,United States,1993
Aggressive Inline,2002,1817,Z-Axis,https://www.igdb.com/companies/z-axis,,
Aggressive Inline,2002,287,Acclaim Entertainment,https://www.igdb.com/companies/acclaim-entertainment,United States,1987
Aidyn Chronicles: The First Mage,2001,197,THQ,https://www.igdb.com/companies/thq,United States,1989
Aidyn Chronicles: The First Mage,2001,1334,H2O Interactive,https://www.igdb.com/companies/h2o-interactive,Canada,1994
Air Combat,1995,7301,Arsys Software,https://www.igdb.com/companies/arsys-software,,
Air Combat,1995,263,Namco,https://www.igdb.com/companies/namco,Japan,1969
Airblade,2001,347,Criterion Games,https://www.igdb.com/companies/criterion-games,United Kingdom,1996
Airblade,2001,263,Namco,https://www.igdb.com/companies/namco,Japan,1969
Airblade,2001,334,Sony Computer Entertainment Europe,https://www.igdb.com/companies/sony-computer-entertainment-europe,,
Akiba's Trip: Undead & Undressed,2013,2187,XSEED Games,https://www.igdb.com/companies/xseed-games--1,United States,2004
Akiba's Trip: Undead & Undressed,2013,1383,ACQUIRE Corp.,https://www.igdb.com/companies/acquire-corp,Japan,1994
Akiba's Trip: Undead & Undressed,2013,2262,NIS America,https://www.igdb.com/companies/nis-america,United States,2003
Akuji the Heartless,1998,552,Crystal Dynamics,https://www.igdb.com/companies/crystal-dynamics,United States,1992
Akuji the Heartless,1998,4,Eidos Interactive,https://www.igdb.com/companies/eidos-interactive,United Kingdom,1996
Akuji the Heartless,1998,52,LTI Gray Matter,https://www.igdb.com/companies/lti-gray-matter,,
Alan Wake,2010,53,Microsoft Game Studios,https://www.igdb.com/companies/microsoft-game-studios,United States,2002
Alan Wake,2010,305,Remedy Entertainment,https://www.igdb.com/companies/remedy-entertainment,Finland,1995
Alan Wake,2010,754,Legacy Interactive,https://www.igdb.com/companies/legacy-interactive,,
Alan Wake,2010,753,Nordic Games Publishing,https://www.igdb.com/companies/nordic-games-publishing,Austria,2008
Alan Wake,2010,755,Namco Bandai Partners,https://www.igdb.com/companies/namco-bandai-partners,Japan,2009
Alan Wake,2010,756,E-Frontier,https://www.igdb.com/companies/e-frontier,,
Alan Wake,2010,305,Remedy Entertainment,https://www.igdb.com/companies/remedy-entertainment,Finland,1995
Alan Wake,2010,945,Nitro Games,https://www.igdb.com/companies/nitro-games,Finland,
Alias,2004,287,Acclaim Entertainment,https://www.igdb.com/companies/acclaim-entertainment,United States,1987
Alice in Wonderland,2010,426,Disney Interactive Studios,https://www.igdb.com/companies/disney-interactive-studios,United States,1988
Alice in Wonderland,2010,1909,Etranges Libellulles,https://www.igdb.com/companies/etranges-libellulles,,
Alice: Madness Returns,2011,1,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982
Alice: Madness Returns,2011,740,Spicy Horse Games,https://www.igdb.com/companies/spicy-horse-games,China,2007
Alien Hominid,2004,1264,O3 Entertainment,https://www.igdb.com/companies/o3-entertainment,,
Alien Hominid,2004,355,Zoo Digital,https://www.igdb.com/companies/zoo-digital,United Kingdom,1999
Alien Hominid,2004,1228,The Behemoth,https://www.igdb.com/companies/the-behemoth,United States,2003
Alien Syndrome,2007,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Alien Syndrome,2007,77,Totally Games,https://www.igdb.com/companies/totally-games,United States,1993
Alien Trilogy,1996,532,Probe Entertainment,https://www.igdb.com/companies/probe-entertainment,United Kingdom,1984
Alien Trilogy,1996,287,Acclaim Entertainment,https://www.igdb.com/companies/acclaim-entertainment,United States,1987
Alien: Isolation,2014,23,Feral Interactive,https://www.igdb.com/companies/feral-interactive,United Kingdom,1996
Alien: Isolation,2014,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Alien: Isolation,2014,111,The Creative Assembly,https://www.igdb.com/companies/the-creative-assembly,United Kingdom,1987
Aliens: Colonial Marines,2013,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Aliens: Colonial Marines,2013,148,Gearbox Software,https://www.igdb.com/companies/gearbox-software,United States,1999
Aliens: Colonial Marines,2013,13,Demiurge Studios,https://www.igdb.com/companies/demiurge-studios,United States,2002
Aliens: Colonial Marines,2013,187,"Nerve Software, LLC",https://www.igdb.com/companies/nerve-software-llc,United States,2001
Aliens: Colonial Marines,2013,408,TimeGate Studios,https://www.igdb.com/companies/timegate-studios,United States,1998
Aliens: Infestation,2011,28729,WayForward,https://www.igdb.com/companies/wayforward,United States,1990
Aliens: Infestation,2011,148,Gearbox Software,https://www.igdb.com/companies/gearbox-software,United States,1999
Aliens: Infestation,2011,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
All-Pro Football 2K8,2007,1975,2K Sports,https://www.igdb.com/companies/2k-sports,United States,2005
All-Pro Football 2K8,2007,694,Visual Concepts,https://www.igdb.com/companies/visual-concepts,United States,1988
Alleyway,1989,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Alleyway,1989,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Alleyway,1989,765,"Intelligent Systems Co., Ltd.",https://www.igdb.com/companies/intelligent-systems-co-dot-ltd,Japan,1986
Alleyway,1989,1809,Nintendo R&D1,https://www.igdb.com/companies/nintendo-r-d1,Japan,1970
