company_id,company_name,company_url,company_country,company_startyear
24213,Interplay,https://www.igdb.com/companies/interplay,,
2406,"Atari, Inc.",https://www.igdb.com/companies/atari-inc,United States,2003.0
47,Obsidian Entertainment,https://www.igdb.com/companies/obsidian-entertainment,United States,2003.0
505,Outrage Games,https://www.igdb.com/companies/outrage-games,United States,1997.0
322,Matrix Software,https://www.igdb.com/companies/matrix-software,Japan,1994.0
820,Working Designs,https://www.igdb.com/companies/working-designs,United States,1986.0
764,Psygnosis,https://www.igdb.com/companies/psygnosis,United Kingdom,1984.0
2088,Brash Entertainment,https://www.igdb.com/companies/brash-entertainment,,
461,Fox Interactive,https://www.igdb.com/companies/fox-interactive,,
1319,Sensory Sweep Studios,https://www.igdb.com/companies/sensory-sweep-studios,,
445,505 Games,https://www.igdb.com/companies/505-games,United States,2006.0
1260,Behaviour Interactive,https://www.igdb.com/companies/behaviour-interactive,Canada,1997.0
1865,ImaginEngine,https://www.igdb.com/companies/imaginengine,United States,1994.0
1906,Hitmaker,https://www.igdb.com/companies/hitmaker,Japan,2000.0
1568,Ancient,https://www.igdb.com/companies/ancient,Japan,1990.0
465,U.S. Army,https://www.igdb.com/companies/u-s-army,,
2207,Secret Level,https://www.igdb.com/companies/secret-level,,
843,Harmonix Music Systems,https://www.igdb.com/companies/harmonix-music-systems,United States,1995.0
950,Rovio Entertainment,https://www.igdb.com/companies/rovio-entertainment,Finland,2003.0
1006,Housemarque,https://www.igdb.com/companies/housemarque,Finland,1995.0
348,Exient Entertainment,https://www.igdb.com/companies/exient-entertainment,United Kingdom,
1926,FUN Labs,https://www.igdb.com/companies/fun-labs,Romania,1999.0
66,Activision,https://www.igdb.com/companies/activision,United States,1979.0
421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989.0
1100,NDCube,https://www.igdb.com/companies/ndcube,Japan,
7902,Nintendo EPD,https://www.igdb.com/companies/nintendo-epd,Japan,2015.0
1246,Nintendo EAD Software Development Group No.2,https://www.igdb.com/companies/nintendo-ead-software-development-group-no-dot-2,Japan,2003.0
833,Ignition Entertainment,https://www.igdb.com/companies/ignition-entertainment,,
50,WB Games,https://www.igdb.com/companies/wb-games,United States,1993.0
259,Warthog Games,https://www.igdb.com/companies/warthog-games,,
400,SCE Japan Studio,https://www.igdb.com/companies/sce-japan-studio,Japan,1993.0
10100,Sony Interactive Entertainment,https://www.igdb.com/companies/sony-interactive-entertainment,Japan,2016.0
2216,Shift,https://www.igdb.com/companies/shift,Japan,1996.0
27081,Sony Computer Entertainment America,https://www.igdb.com/companies/sony-computer-entertainment-america,,
23687,"SIMS Co., Ltd.",https://www.igdb.com/companies/sims-co-dot-ltd,,
18585,SIMS,https://www.igdb.com/companies/sims,Japan,1991.0
592,Milestone,https://www.igdb.com/companies/milestone,Italy,1994.0
141,Virgin Interactive Entertainment (Europe) Ltd.,https://www.igdb.com/companies/virgin-interactive-entertainment-europe-ltd,United Kingdom,1983.0
28078,Miracle Games,https://www.igdb.com/companies/miracle-games,,
1289,DC Comics,https://www.igdb.com/companies/dc-comics,,
821,TDK Mediactive,https://www.igdb.com/companies/tdk-mediactive,,
1908,Lucky Chicken Games,https://www.igdb.com/companies/lucky-chicken-games,,
782,Marvelous Entertainment,https://www.igdb.com/companies/marvelous-entertainment,Japan,1997.0
