name,url,year,rating,votes,plot
Air Combat,https://www.imdb.com/title/tt0429504/?ref_=adv_li_tt,1995,6.8,58,Take to the skies in fighter jets on varied missions to defeat the enemy.
Airblade,https://www.imdb.com/title/tt0300918/?ref_=adv_li_tt,2001,6.6,48,"Features an awesome mission-based Story Mode, unbelievable tricks and stunts, and even a Party-Play mode for up to 8 players."
Akiba's Trip: Undead & Undressed,https://www.imdb.com/title/tt3769060/?ref_=adv_li_tt,2013,6.7,42,It is the sequel to Akiba's Trip on the PlayStation Portable and the storyline revolves around a conspiracy behind the Magaimono organization that the player explores.
Akuji the Heartless,https://www.imdb.com/title/tt0388694/?ref_=adv_li_tt,1998,7.4,45,"Akuji, a voodoo priest is betrayed and murdered by his brother on the eve of his wedding to the daughter of a Chief from a rival tribe. Awaking in the underworld, Akuji must fight his way ... See full summary »"
Alan Wake,https://www.imdb.com/title/tt0466662/?ref_=adv_li_tt,2010,8.5,"5,899","While on vacation in the small town of Bright Falls, a struggling writer must investigate the mysterious disappearance of his wife while events from his latest manuscript, which he can't remember writing, begin to come true."
Alias,https://www.imdb.com/title/tt0364931/?ref_=adv_li_tt,2004,6.5,489,"Based on the hit television show, a third-person based game about CIA/Alliance double-agent Sydney Bristow."
Alice in Wonderland,https://www.imdb.com/title/tt1729632/?ref_=adv_li_tt,2010,6.2,212,"Prepare to journey down the rabbit hole and into a land beyond your wildest imaginings. In Alice in Wonderland, the world of the dazzling Tim Burton film bursts onto your screen, filled ... See full summary »"
Alice: Madness Returns,https://www.imdb.com/title/tt1976517/?ref_=adv_li_tt,2011,8.2,"1,298",10 year old Alice lost her family in a fire. For 10 years she remained catatonic in an asylum while her condition caused Wonderland to turn - dark.
Alien Hominid,https://www.imdb.com/title/tt0396440/?ref_=adv_li_tt,2004,6.9,134,"You are a yellow alien who's UFO has crash landed, and the FBI is trying to kill you! Take them out with different weapons, moves, and vehicles. Loads of old-skool 2D Platformer fun!"
Alien Syndrome,https://www.imdb.com/title/tt0961175/?ref_=adv_li_tt,2007,6.0,17,Add a Plot
Alien Trilogy,https://www.imdb.com/title/tt0284840/?ref_=adv_li_tt,1996,7.2,217,The alien trilogy is based off from the first 3 alien movies
Alien: Isolation,https://www.imdb.com/title/tt3391132/?ref_=adv_li_tt,2014,8.7,"5,402","In this first person survival horror adventure set fifteen years after the events of Alien (1979), Ripley's daughter becomes trapped on an alien-infested space station which holds answers to the mystery of her mother's disappearance."
Alienators: Evolution Continues,https://www.imdb.com/title/tt0470673/?ref_=adv_li_tt,2001,0.0,0,Video-game of the popular animated show.
Aliens: Colonial Marines,https://www.imdb.com/title/tt1277125/?ref_=adv_li_tt,2013,4.8,"1,226",After the events depicted in Aliens (1986) and Aliens: Fire and Stone. Michael Bishop Weyland sets up War against the Colonial Marines to cover up the Xeno conspiracy.
Aliens: Infestation,https://www.imdb.com/title/tt2151242/?ref_=adv_li_tt,2011,6.8,23,"A group of colonial marines are sent to investigate the U.S.S Sulaco, where they uncover a nest of Xenomorphs."
All-Pro Football 2K8,https://www.imdb.com/title/tt0960042/?ref_=adv_li_tt,2007,7.8,25,"2K Sports brings football back to its videogame line-up with All-Pro Football 2K8, featuring legends of the gridiron brought together for a showdown of the greatest of the greats. The ... See full synopsis »"
Alleyway,https://www.imdb.com/title/tt1242591/?ref_=adv_li_tt,1989,6.7,26,You play as Mario in a capsule and you break blocks to advance to the next level.
Alone in the Dark,https://www.imdb.com/title/tt1247152/?ref_=adv_li_tt,2008,5.4,600,Edward Carnby must investigate shadowy conspiracies that surround Central Park in New York City.
Alpha Protocol,https://www.imdb.com/title/tt1249406/?ref_=adv_li_tt,2010,7.3,451,"After a mission goes awry, Michael is cut off from all of his contacts and betrayed by his superiors and is being hunted by the United States government. He uses his undercover name ""Alpha Protocol"" and begins to uncover the conspiracy."
Alter Echo,https://www.imdb.com/title/tt0413676/?ref_=adv_li_tt,2003,7.2,16,Add a Plot
Alundra,https://www.imdb.com/title/tt0288420/?ref_=adv_li_tt,1997,7.9,124,"Alundra has been called to a troubled village after being plagued visions,where great evil lies there waiting."
Alvin and the Chipmunks,https://www.imdb.com/title/tt1086771/?ref_=adv_li_tt,2007,6.1,67,"Video game based on the 2007 live-action feature ""Alvin and the Chipmunks""."
