name,url,year,rating,votes,plot,Key
The Curse of Monkey Island,https://www.imdb.com/title/tt0134599/?ref_=adv_li_tt,1997,9.1,"2,667","After unwittingly turning his true love Elaine into solid gold with a cursed engagement ring, Guybrush Threepwood must find a map, a ship and a crew, sail to Blood Island and track down an uncursed diamond ring to reverse the curse.",tt0134599
Fallout: A Post-Nuclear Role-Playing Game,https://www.imdb.com/title/tt0134648/?ref_=adv_li_tt,1997,9.2,"3,772","After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.",tt0134648
Fallout: A Post-Nuclear Role-Playing Game,https://www.imdb.com/title/tt0134648/?ref_=adv_li_tt,1997,9.2,"3,773","After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.",tt0134648
Starship Titanic,https://www.imdb.com/title/tt0134981/?ref_=adv_li_tt,1998,7.9,98,"It seemed like a normal day. Sit back at your computer, put in a new CD-ROM and relax. Unfortunately the galaxy had other plans. Without warning, a loud crash introduces you to the Starship... See full summary »",tt0134981
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",https://www.imdb.com/title/tt0138458/?ref_=adv_li_tt,1999,8.6,530,The investigation of a kidnapping leads Gabriel Knight (Tim Curry) to the French village of Rennes-Le-Chateau where a dark and sinister mystery lies ready to be solved.,tt0138458
The Beast Within: A Gabriel Knight Mystery,https://www.imdb.com/title/tt0138459/?ref_=adv_li_tt,1995,9.0,779,"Shortly after moving to Rittersburg to take over duties as the lone ""Schattenjager"", Gabriel Knight is called by the townsfolk to investigate the killing of a child believed to be caused by a werewolf.",tt0138459
The Dig,https://www.imdb.com/title/tt0139156/?ref_=adv_li_tt,1995,8.5,933,Three humans trapped on a distant planet discover its deadly secret which could be their undoing.,tt0139156
Dark Seed II,https://www.imdb.com/title/tt0142210/?ref_=adv_li_tt,1995,6.4,59,"Accused of murdering his librarian girlfriend, small town horror novelist Mike Dawson must catch the shape shifting alien serial killer that did it to help a monstrous alien invader from an alien parallel dimension enter Mike's world.",tt0142210
DuckTales: The Quest for Gold,https://www.imdb.com/title/tt0142255/?ref_=adv_li_tt,1990,7.8,90,Add a Plot,tt0142255
"I Have No Mouth, and I Must Scream",https://www.imdb.com/title/tt0142392/?ref_=adv_li_tt,1995,8.3,254,"CD-ROM adventure starring an omnipotent supercomputer calling itself AM (as in ""I think, therefore I am.""). Built by the Americans as the ultimate defense system, AM accidentally became self-aware and eventually goes insane.",tt0142392
Noir,https://www.imdb.com/title/tt0142698/?ref_=adv_li_tt,1996,8.6,28,This Windows CD-ROM game takes players back to 1940 Los Angeles through computer graphics composed entirely of black and white photographs and video. Players assume the role of a detective ... See full summary »,tt0142698
Video Speedway,https://www.imdb.com/title/tt0142962/?ref_=adv_li_tt,1993,0.0,0,This CD-I racing simulation allows one-to-four players to compete on ten fictional race tracks located across the United States. Each player begins with a go-kart and works his way up to a ... See full summary »,tt0142962
Star Trek: Generations,https://www.imdb.com/title/tt0143901/?ref_=adv_li_tt,1997,7.0,631,A first person action adventure game for the PC with first person shooter segments as well as real-time strategy sections. Based on Star Trek: Generations (1994).,tt0143901
Who Killed Taylor French?,https://www.imdb.com/title/tt0144009/?ref_=adv_li_tt,1994,0.0,0,You are a detective called to investigate the death of Taylor French. French is a young newspaper reporter whose professional curiosity has scared a few people in town. She has many ... See full summary »,tt0144009
Dark Seed,https://www.imdb.com/title/tt0144157/?ref_=adv_li_tt,1992,7.6,91,Point and click adventure about a phlegmatic small town horror novelist Mike Dawson who learns that his mind has been impregnated with the embryo of a monstrous alien invader from an evil alien parallel dimension.,tt0144157
Lands of Lore: Guardians of Destiny,https://www.imdb.com/title/tt0144274/?ref_=adv_li_tt,1997,8.2,80,"On her death bed, Scotia, witch of the Dark Army, bestowed her evil twisted powers upon her son, Luther- but there were complications... Now Luther uncontrollably shape-shifts (from human ... See full summary »",tt0144274
Multimedia Celebrity Poker,https://www.imdb.com/title/tt0144366/?ref_=adv_li_tt,1995,0.0,0,"Compete against celebrities Jonathan Frakes, Morgan Fairchild, and Joe Piscopo in a fun-filled game of poker. One player plays against the three celebrity players, who respond to the game ... See full summary »",tt0144366
Crystalis,https://www.imdb.com/title/tt0145730/?ref_=adv_li_tt,1990,8.0,96,"Emperor Draygon awakens from a cryogenic sleep one hundred years after a global nuclear war. Even though he is unable to recall his name or who he was, he begins to discover that he may be the key to save this world from destruction.",tt0145730
Prince Interactive,https://www.imdb.com/title/tt0145845/?ref_=adv_li_tt,1994,7.6,42,"You've made an emergency landing at Prince's space villa. Explore the place, solve a few puzzles and find five pieces of his symbol to fix your ship and leave as well as unlock some previously unreleased material from the artist.",tt0145845
Kid Icarus,https://www.imdb.com/title/tt0145868/?ref_=adv_li_tt,1986,6.9,255,"Pit goes on a quest to find three sacred treasures, which he must equip to rescue the Grecian fantasy world Angel Land and its ruler, the goddess Palutena.",tt0145868
Fist of the North Star,https://www.imdb.com/title/tt0146893/?ref_=adv_li_tt,1995,6.1,23,"In the middle of Rin and Bat's marriage ceremony, Rin is kidnapped by a masked warrior named Jadô. Word gets out to Kenshirô that she is being held by the ""Dark Hokuto"". He learns that ... See full summary »",tt0146893
Crusader: No Regret,https://www.imdb.com/title/tt0148029/?ref_=adv_li_tt,1996,7.7,63,"You're a renegade Silencer out to settle a score with the powerful World Economic Consortium. Only your instincts, agility and firepower can get you through in one piece to the ultimate ... See full summary »",tt0148029
Crusader: No Remorse,https://www.imdb.com/title/tt0148030/?ref_=adv_li_tt,1995,8.1,88,"As a Silencer, one of the elite enforcers of the World Economic Consortium, you're supposed to be incorruptible. But if the system you serve is utterly corrupt, where does that leave you? ... See full summary »",tt0148030
Monster in My Pocket,https://www.imdb.com/title/tt0151622/?ref_=adv_li_tt,1992,7.7,44,"Warlock sends out his henchman while the benevolent Vampire and Monster (of Frankenstein), shrunken by an evil spell, are watching TV at the home of Jack, a lazy, girl-crazy teenager who ... See full summary »",tt0151622
Monty Python & the Quest for the Holy Grail,https://www.imdb.com/title/tt0151625/?ref_=adv_li_tt,1996,8.4,"1,925","A parody of computer games, mainly CD-ROM ones, in which King Arthur must search for the Holy Grail.",tt0151625
Psychotron,https://www.imdb.com/title/tt0152100/?ref_=adv_li_tt,1994,0.0,0,"CIA plane carrying the psychotronic generator, a mind control device prototype developed by a Russian scientist, has crashed and the device and one of the agents are missing. Find the device no matter what.",tt0152100
Quake,https://www.imdb.com/title/tt0152116/?ref_=adv_li_tt,1996,8.2,"2,397","Mankind discovers the secret of 'slipgates' called teleporters. However, they're misused by some strange force code-named 'Quake', which uses the slipgates to send hordes of warriors to earth to take over the whole world.",tt0152116
Seicross,https://www.imdb.com/title/tt0152360/?ref_=adv_li_tt,1984,3.8,19,"During the game play of Seicross, the player rides a gliding motorcycle-like vehicle, bumping other riders, collecting power modules and collecting blue people who are stranded. A second ... See full summary »",tt0152360
Star Trek,https://www.imdb.com/title/tt0152592/?ref_=adv_li_tt,1991,6.9,115,You play the crew of the U.S.S. Enterprise as they have adventures staged as the fourth season of the original series.,tt0152592
Surgical Strike,https://www.imdb.com/title/tt0152696/?ref_=adv_li_tt,1994,7.1,19,"The UN have approved a surgical strike on the stronghold of a Middle Eastern strongman, who's rocketing civilian targets. The player's team is sent in a heavily armed hovercraft to stop him. Avoid collateral damage or the game is over.",tt0152696
Star Wars: TIE Fighter,https://www.imdb.com/title/tt0153067/?ref_=adv_li_tt,1994,8.6,443,"Taking on the role of a rookie Imperial pilot, the player flies various missions in a variety of campaigns as the Imperials pursue the Alliance across the galaxy.",tt0153067
Ultraman: Towards the Future,https://www.imdb.com/title/tt0153411/?ref_=adv_li_tt,1991,5.2,23,Add a Plot,tt0153411
Descent,https://www.imdb.com/title/tt0154392/?ref_=adv_li_tt,1994,7.2,139,"A mysterious alien virus has taken over the mining robots of the PTMC (Post Terran Mining Corperation), turning them into murderous slaves to this enigmatic force. It is up to you, the ... See full summary »",tt0154392
Descent 2,https://www.imdb.com/title/tt0154393/?ref_=adv_li_tt,1996,7.9,90,"Mainly, the plot takes of where Descent left off. After blowing a crater the size of North America in Charon Violate, Vertigo 1 must head for some deep space mines, which contain deadlier ... See full summary »",tt0154393
Lord of the Rings,https://www.imdb.com/title/tt0154789/?ref_=adv_li_tt,1990,6.7,167,"While Frodo and Sam, now accompanied by a new guide, continue their hopeless journey towards the land of shadow to destroy the One Ring, each member of the broken fellowship plays their ... See full summary »",tt0154789
Shattered Steel,https://www.imdb.com/title/tt0155165/?ref_=adv_li_tt,1996,5.0,11,"Shattered Steel is a first-person 3D action game similar in concept to MechWarrior series. The player takes control of bipedal machines (mechs) known as Planet Runners, trying to protect ... See full summary »",tt0155165
PUSSNBOOTS: Pero's Great Adventure,https://www.imdb.com/title/tt0156854/?ref_=adv_li_tt,1990,6.0,14,Add a Plot,tt0156854
Critical Path,https://www.imdb.com/title/tt0157493/?ref_=adv_li_tt,1994,6.5,12,"After an apocalyptic event, a surviving commando team crash lands on an isolated island. Help your comrade Kat escape the tropical island controlled by mad General Minh and his army of lunatics.",tt0157493
The Daedalus Encounter,https://www.imdb.com/title/tt0157501/?ref_=adv_li_tt,1995,7.8,64,"Two space war veterans turned scavengers and their cybernetic buddy stumble upon an organic alien vessel heading straight for a star, and must now explore the ship to find a way to change its course before it's too late.",tt0157501
Return to Zork,https://www.imdb.com/title/tt0158150/?ref_=adv_li_tt,1993,8.2,114,"In this FMV sequel to Zork, a cult classic series of text-based adventures, the player returns to help Zork, a once secret and mighty underground empire that's now in fear of a sinister omnipotent taunting creature called Morphius.",tt0158150
Star Wars: Shadows of the Empire,https://www.imdb.com/title/tt0158208/?ref_=adv_li_tt,1996,8.0,970,You are the protector of Luke Skywalker.,tt0158208
Adventures with Barbie: Ocean Discovery,https://www.imdb.com/title/tt0158456/?ref_=adv_li_tt,1997,4.9,15,Add a Plot,tt0158456
Bridge Deluxe with Omar Sharif,https://www.imdb.com/title/tt0158519/?ref_=adv_li_tt,1993,4.9,14,Celebrated actor Omar Sharif hosts the video segments in this game about learning how to play bridge.,tt0158519
