name,rating,votes,year,url,plot,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,company_name,company_url,company_country,company_startyear
Monster House,6.3,183,2006,https://www.imdb.com/title/tt0833979/?ref_=adv_li_tt,"DJ, Chowder, and Jenny explore Nebbercracker's house, defeat its evil creatures, and annihilate the house.",Adventure,0.38,0.11,0.0,0.03,0.53,Artificial Mind & Movement,https://www.igdb.com/companies/artificial-mind-movement,Canada,2000.0
Monster Hunter,6.6,32,2004,https://www.imdb.com/title/tt2110433/?ref_=adv_li_tt,"Monster Hunter is a third-person action game set in a kind of pre-historic fantasy world. Many of the creatures you'll see are very similar to dinosaurs, ancient relatives to modern day ... See full summary »",Role-Playing,0.11,0.08,0.28,0.03,0.5,Capcom,https://www.igdb.com/companies/capcom,Japan,1979.0
Monster Jam: Path of Destruction,6.5,18,2010,https://www.imdb.com/title/tt1845268/?ref_=adv_li_tt,Add a Plot,Racing,1.24,0.04,0.0,0.09,1.38,Activision,https://www.igdb.com/companies/activision,United States,1979.0
Monster Jam: Path of Destruction,6.5,18,2010,https://www.imdb.com/title/tt1845268/?ref_=adv_li_tt,Add a Plot,Racing,1.24,0.04,0.0,0.09,1.38,Virtuos,https://www.igdb.com/companies/virtuos,China,2004.0
Monster Madness: Battle for Suburbia,5.2,10,2007,https://www.imdb.com/title/tt2185096/?ref_=adv_li_tt,Add a Plot,Shooter,0.1,0.0,0.0,0.01,0.11,SouthPeak Interactive,https://www.igdb.com/companies/southpeak-interactive,United States,1996.0
Monster Madness: Battle for Suburbia,5.2,10,2007,https://www.imdb.com/title/tt2185096/?ref_=adv_li_tt,Add a Plot,Shooter,0.1,0.0,0.0,0.01,0.11,Immersion Games,https://www.igdb.com/companies/immersion-games,,
Monster Madness: Battle for Suburbia,5.2,10,2007,https://www.imdb.com/title/tt2185096/?ref_=adv_li_tt,Add a Plot,Shooter,0.1,0.0,0.0,0.01,0.11,Artificial Studios,https://www.igdb.com/companies/artificial-studios,,
Monster Madness: Grave Danger,0.0,0,2008,https://www.imdb.com/title/tt2185132/?ref_=adv_li_tt,Add a Plot,Shooter,0.05,0.01,0.0,0.01,0.06,Psyonix,https://www.igdb.com/companies/psyonix,United States,2000.0
Monster Madness: Grave Danger,0.0,0,2008,https://www.imdb.com/title/tt2185132/?ref_=adv_li_tt,Add a Plot,Shooter,0.05,0.01,0.0,0.01,0.06,SouthPeak Interactive,https://www.igdb.com/companies/southpeak-interactive,United States,1996.0
Monster Madness: Grave Danger,0.0,0,2008,https://www.imdb.com/title/tt2185132/?ref_=adv_li_tt,Add a Plot,Shooter,0.05,0.01,0.0,0.01,0.06,Immersion Games,https://www.igdb.com/companies/immersion-games,,
Monster Rancher,7.1,43,1997,https://www.imdb.com/title/tt0285741/?ref_=adv_li_tt,Add a Plot,Simulation,0.12,0.08,0.74,0.07,1.01,Tecmo,https://www.igdb.com/companies/tecmo,,1969.0
Monster Tale,6.4,7,2011,https://www.imdb.com/title/tt6727430/?ref_=adv_li_tt,Add a Plot,Platform,0.06,0.0,0.0,0.0,0.07,DreamRift,https://www.igdb.com/companies/dreamrift,,
Monster Tale,6.4,7,2011,https://www.imdb.com/title/tt6727430/?ref_=adv_li_tt,Add a Plot,Platform,0.06,0.0,0.0,0.0,0.07,Majesco,https://www.igdb.com/companies/majesco,,
Monster Truck Madness 64,7.4,10,1999,https://www.imdb.com/title/tt7738658/?ref_=adv_li_tt,Monster Truck racing game.,Racing,0.24,0.06,0.0,0.0,0.3,Rockstar Games,https://www.igdb.com/companies/rockstar-games,United States,
Monster Truck Madness 64,7.4,10,1999,https://www.imdb.com/title/tt7738658/?ref_=adv_li_tt,Monster Truck racing game.,Racing,0.24,0.06,0.0,0.0,0.3,Edge of Reality,https://www.igdb.com/companies/edge-of-reality,United States,1998.0
Monsters vs. Aliens,6.4,461,2009,https://www.imdb.com/title/tt1309563/?ref_=adv_li_tt,"Monsters vs. Aliens follows the storyline of the animated movie, giving players the chance to play each of the five monsters while taking on the evil robot and clone invaders of the plotting alien, Gallaxhar.",Action,0.92,0.32,0.0,0.2,1.47,Activision,https://www.igdb.com/companies/activision,United States,1979.0
Monsters vs. Aliens,6.4,461,2009,https://www.imdb.com/title/tt1309563/?ref_=adv_li_tt,"Monsters vs. Aliens follows the storyline of the animated movie, giving players the chance to play each of the five monsters while taking on the evil robot and clone invaders of the plotting alien, Gallaxhar.",Action,0.92,0.32,0.0,0.2,1.47,Beenox,https://www.igdb.com/companies/beenox,Canada,2000.0
"Monsters, Inc. Scream Arena",6.5,54,2002,https://www.imdb.com/title/tt2258493/?ref_=adv_li_tt,"After getting enough laugh energy, the jesters at Monsters, Inc decided to do a dodge ball game to get their laughs on to produce more energy.",Platform,0.29,0.07,0.0,0.01,0.37,THQ,https://www.igdb.com/companies/thq,United States,1989.0
"Monsters, Inc. Scream Arena",6.5,54,2002,https://www.imdb.com/title/tt2258493/?ref_=adv_li_tt,"After getting enough laugh energy, the jesters at Monsters, Inc decided to do a dodge ball game to get their laughs on to produce more energy.",Platform,0.29,0.07,0.0,0.01,0.37,Radical Entertainment,https://www.igdb.com/companies/radical-entertainment,Canada,1991.0
"Monsters, Inc. Scream Team",6.5,66,2001,https://www.imdb.com/title/tt6483658/?ref_=adv_li_tt,"In order to become top scarers, Mike and his best friend Sulley have to go to Scare Island for training.",Platform,0.31,0.21,0.0,0.04,0.56,Disney Interactive Studios,https://www.igdb.com/companies/disney-interactive-studios,United States,1988.0
"Monsters, Inc. Scream Team",6.5,66,2001,https://www.imdb.com/title/tt6483658/?ref_=adv_li_tt,"In order to become top scarers, Mike and his best friend Sulley have to go to Scare Island for training.",Platform,0.31,0.21,0.0,0.04,0.56,Artificial Mind & Movement,https://www.igdb.com/companies/artificial-mind-movement,Canada,2000.0
"Monsters, Inc. Scream Team",6.5,66,2001,https://www.imdb.com/title/tt6483658/?ref_=adv_li_tt,"In order to become top scarers, Mike and his best friend Sulley have to go to Scare Island for training.",Platform,0.31,0.21,0.0,0.04,0.56,Tomy Corporation,https://www.igdb.com/companies/tomy-corporation,,
